time,command,error,output,setpoint
0.000000e0,2.000000e0,1.000000e0,2.000000e-1,1.000000e0
1.000000e-3,1.700000e0,8.000000e-1,3.500000e-1,1.000000e0
2.000000e-3,1.480000e0,6.500000e-1,4.630000e-1,1.000000e0
3.000000e-3,1.319000e0,5.369999e-1,5.486000e-1,1.000000e0
4.000000e-3,1.201500e0,4.514000e-1,6.138900e-1,1.000000e0
5.000000e-3,1.116060e0,3.861100e-1,6.641070e-1,1.000000e0
6.000000e-3,1.054237e0,3.358930e-1,7.031200e-1,1.000000e0
7.000000e-3,1.009800e0,2.968800e-1,7.337880e-1,1.000000e0
8.000000e-3,9.781523e-1,2.662120e-1,7.582244e-1,1.000000e0
9.000000e-3,9.559007e-1,2.417756e-1,7.779921e-1,1.000000e0
1.000000e-2,9.405429e-1,2.220079e-1,7.942472e-1,1.000000e0
1.100000e-2,9.302335e-1,2.057528e-1,8.078458e-1,1.000000e0
1.200000e-2,9.236116e-1,1.921542e-1,8.194224e-1,1.000000e0
1.300000e-2,9.196738e-1,1.805776e-1,8.294475e-1,1.000000e0
1.400000e-2,9.176813e-1,1.705525e-1,8.382709e-1,1.000000e0
1.500000e-2,9.170898e-1,1.617291e-1,8.461528e-1,1.000000e0
1.600000e-2,9.174989e-1,1.538472e-1,8.532874e-1,1.000000e0
1.700000e-2,9.186144e-1,1.467126e-1,8.598201e-1,1.000000e0
1.800000e-2,9.202202e-1,1.401799e-1,8.658602e-1,1.000000e0
1.900000e-2,9.221581e-1,1.341398e-1,8.714899e-1,1.000000e0
2.000000e-2,9.243125e-1,1.285101e-1,8.767722e-1,1.000000e0
2.100000e-2,9.265990e-1,1.232278e-1,8.817549e-1,1.000000e0
2.200000e-2,9.289564e-1,1.182451e-1,8.864750e-1,1.000000e0
2.300000e-2,9.313406e-1,1.135250e-1,8.909616e-1,1.000000e0
2.400000e-2,9.337200e-1,1.090384e-1,8.952374e-1,1.000000e0
2.500000e-2,9.360721e-1,1.047626e-1,8.993209e-1,1.000000e0
2.600000e-2,9.383814e-1,1.006791e-1,9.032270e-1,1.000000e0
2.700000e-2,9.406372e-1,9.677303e-2,9.069680e-1,1.000000e0
2.800000e-2,9.428325e-1,9.303200e-2,9.105545e-1,1.000000e0
2.900000e-2,9.449627e-1,8.944553e-2,9.139953e-1,1.000000e0
3.000000e-2,9.470256e-1,8.600467e-2,9.172984e-1,1.000000e0
3.100000e-2,9.490200e-1,8.270162e-2,9.204705e-1,1.000000e0
3.200000e-2,9.509458e-1,7.952946e-2,9.235181e-1,1.000000e0
3.300000e-2,9.528037e-1,7.648194e-2,9.264466e-1,1.000000e0
3.400000e-2,9.545947e-1,7.355338e-2,9.292614e-1,1.000000e0
3.500000e-2,9.563204e-1,7.073855e-2,9.319673e-1,1.000000e0
3.600000e-2,9.579825e-1,6.803268e-2,9.345688e-1,1.000000e0
